BSML,CJL,CS,DS300Z,DS3Z,DS600Z,GJ,GLLYL,HKYH,JC,JS,XRJS,KZX,MD,ND,PL,PSSD,PZS,PZZJ1,PZZJ2,QCJS,QL10F,QXJC,QXQSJS,HJQXZSJ,SHL,YXCD,YXZJ,ZBY,ZGSFSD,ZJSJHJ,ZS1,ZTJJZS, ZTCC,ZTSFSD,ZTSML,ZTYJ,ZY,ZS
18.21999931,10142,90,,,,170,81.66999817,0.5,914.25,433.5,433.5,5.35375,1.05,,53,151.6000061,3,,,1347.75,,,,5.83333,,,,18,1.870000005,49.75,120,18.37999916,241.3000031,2.230000019,832,14.69999981,160,18.37688442
11.52999973,6018,90,,,,180,76.66999817,1,636.25,1347.75,1347.75,5.35375,1.11,,32,147.3000031,2,,,1984,,,,12,,,,18,0.920000017,39.66666,120,16.04000092,241.3000031,1.100000024,521,13.80000019,180,16.03991866
8.239999771,5213,90,,,,180,66.09999847,1.200000048,405.3000488,1984,1984,3.3408462,1.18,,32,129.6000061,3,,,2389.300049,,,,14.25,,,,18,0.920000017,47.083333,60,8.619999886,241.3000031,1.100000024,382,11.89999962,180,8.608142691
8.050000191,4973,90,,,,180,65.55999756,1.200000048,71.5,2389.300049,2389.300049,4.7566667,1.24,55,32,118.4000015,2,,,2460.800049,,,,10.5,,,,18,0.920000017,11.833333,60,6.039999962,241.3000031,1.100000024,367,11.80000019,180,6.042253691
,,90,,,,180,,,9.199951172,2460.800049,2460.800049,4.2675,1.24,55,20,,2,,,2470,,,,10,,,,6,,2.916666,60,3.150000095,216,,,,60,3.154269694
6.090000153,4935,90,,,,180,65,1.200000048,67.42993164,2470,2470,4.2675,1.24,57,32,118.4000015,2,,,2537.429932,,,,9.1666666,,,,18,0.920000017,8.75,60,7.710000038,241,6.099999905,354,11.69999981,180,7.706277902
,,90,,,,180,,,9.400146484,2537.429932,2537.429932,4.2675,1.24,52,20,,2,,,2546.830078,,,,8.5,,,,6,,4,60,2.349999905,216,,,,60,2.350036621
5.159999847,4581,90,,,,180,60,1.299999952,129.1699219,2546.830078,2546.830078,4.2675,1.24,46,32,115.6999969,2,,,2676,,,,9.833333,,,,18,0.920000017,18.583333,60,6.949999809,241,1.100000024,299.7000122,10.80000019,180,6.950847939
,,90,,,,180,,,7.100097656,2676,2676,3.3408462,1.24,46,20,,2,,,2683.100098,,,,7.83333,,,,6,,1.5,60,4.730000019,216,,,,60,4.733398438
5.139999866,4573,90,,,,180,58.59000015,1.5,66.89990234,2683.100098,2683.100098,3.3408462,1.24,45,32,114.9000015,2,,,2750,,,,9,,,,18,0.920000017,9.9166666,60,6.75,0,1.100000024,296.7999878,10.60000038,180,6.746208685
,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,98,,,,170,,,68.73999786,68.73999786,68.73999786,4.7566667,1.08,22,55,,3,,,68.73999786,,,,1.5,,,,17,,27,117,2.549999952,444.5,,,,50,2.545925847
,,98,,,,170,,,85.51999664,154.2599945,154.2599945,4.7566667,1.08,22,55,,3,,,154.2599945,,,,3.166666,,,,17,,27.75,117,3.079999924,444.5,,,,50,3.081801681
,,98,,,,170,,,65.74000549,220,220,4.7566667,1.08,22,55,,3,,,220,,,,2.666666,,,,18,,9.666666,117,6.800000191,444.5,,,,50,6.800690692
9.109999657,9324,98,,,,170,62,0.100000001,375.1799927,595.1799927,595.1799927,4.7566667,1.13,26,62,134,3,,,595.1799927,,,,14.25,,,,18,0.980000019,29.5,117,12.72000027,311,1.75999999,692,11.19999981,150,12.71796585
7.71999979,8862,98,,,,170,59,0.200000003,165.5599976,760.7399902,760.7399902,4.7566667,1.29,27,55.3,119,3,,,760.7399902,,,,5.5,,,,18,0.870000005,54.41666,73,3.039999962,311,1.570000052,586,10.60000038,50,3.042450558
6.920000076,8318,98,,,,170,55,0.200000003,228.8599854,989.5999756,989.5999756,4.7566667,1.39,83,52.8,114,3,,,989.5999756,,,,6.5,,,,18,0.829999983,58.66666,117,3.900000095,311,1.5,526,10,250,3.901022921
6.420000076,7969,98,,,,170,50,0.200000003,210.4000244,1200,1200,4.7566667,,,53.8,110,3,,,1200,,,,9.33333,,,,18,0.850000024,51.83333,117,4.059999943,311,1.529999971,487,9.100000381,250,4.059164719
10.86999989,6966,98,,,,170,44,3.099999905,20,1220,1220,3.9375,,,50.3,1.299999952,3,,,1220,,,,5.5,,,,18,2.099999905,12.833333,117,1.559999943,216,4.380000114,398,7.900000095,50,1.558441599
6.989999771,5327,98,,,,180,31,2.700000048,190,1410,1410,4.7566667,,,46.1,87,3,,,1410,,,,4.5,,,,18,1.919999957,50.25,117,3.779999971,216,3.920000076,256,5.599999905,220,3.781094527
6.809999943,5197,98,,,,180,31,2.700000048,93.7199707,1503.719971,1503.719971,4.7566667,,,45,87,3,,,1503.719971,,,,7.16666,,,,18,1.879999995,14.25,117,6.579999924,216,3.829999924,250,5.5,200,6.576840049
9,5451,98,,,,180,49,2.099999905,139.9400635,1643.660034,1643.660034,3.9375,,,37.2,109,3,,,1643.660034,,,,8.5,,,,18,1.549999952,27.16666,117,5.150000095,216,3.160000086,330,8.899999619,200,5.151169245
9,5451,98,,,,180,49,2.099999905,6.779907227,1650.439941,1650.439941,6.284,1.35,,45,109,3,,,1650.439941,,,,8.666666,,,,18,1.549999952,13,117,0.519999981,216,3.160000086,330,8.899999619,80,0.521531325
