DS300Z,DS600Z,MD,ND,PL,YXMS,ZBY,ZS1,ZY,ZS
,,,,23,ЩАбв,9,67,45,0.87783731
,,,,23,Фрбв,9,67,45,1.440005096
,,,,23,ЩАбв,9,67,45,0.443486753
,,,,23,ЩАбв,9,67,45,1.487356089
,,,,23,ЩАбв,9,67,45,0.952945486
,,,,23,ЩАбв,9,67,45,0.603002936
,,,,23,ЩАбв,9,67,45,2.179992676
,,,,23,Фрбв,9,67,45,1.637988281
,,,,23,Фрбв,9,67,45,0.543161493
,,,,23,ЩАбв,9,67,45,0.611834782
,,,,23,ЩАбв,9,67,45,1.777496782
,,,,23,ЩАбв,9,67,45,1.019989077
,,,,23,Фрбв,9,67,45,1.836942234
,,,,23,Фрбв,9,67,45,1.177496456
,,,,23,ЩАбв,10,67,45,1.591677132
,,,,23,Фрбв,10,67,45,0.976598866
,,,,23,ЩАбв,10,67,50,0.808007813
,,,,23,ЩАбв,10,67,50,1.806202868
,,,,23,ЩАФр,10.5,67,50,3.434110794
,,,,23,ЩАбв,10.5,67,50,0.844286539
,,,,23,ЩАбв,11,67,50,2.379964193
,,,,23,ЩАбв,11,67,45,1.340782763
,,,,23,,11,67,45,2.949129972
,,,,23,,11,67,45,1.430759063
,,,,23,ЩАФр,11,67,45,1.922485352
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,1.120000005,41,32,Фрбв,18,127,120,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,1.120000005,41,32,Фрбв,16,127,120,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
,,,,,Фрбв,,,,
