BRZYGZ,BSML,BYY,BZ,CJ,CJL,CJSJ,CLFZSJ,CLNJSJ,CS,CY,CZJSJ,CZWT,DC,DS300Z,DS3Z,DS600Z,FSCSJ,FZGZSJ,GJ,GJSJ,GLLYL,HBR,HJQXZSJ,HKYH,HNSJ,HSL,HYSJ,HZTSJ,JC,JDGSJ,JG,JH,JHR,JS,JY,KHYSJ,KZX,LJJC,LJSJ,LXJSYSJ,MBWQS,MD,MMZS,MSZJ,MT,NBHD,ND,PHZ,PL,PSSD,PZS,PZZJ1,PZZJ2,PZZJ3,PZZJ4,PZZJ5,QCJS,QL10F,QTSJ,QXCW,QXDHTZ,QXGJ,QXJC,QXQSJS,QXZSJ,QXZZJS,QYS,RQ,SBR,SCGC,SCSJ,SGSJ,SHL,SHLDDYY,SYSJ,SZDC,SZGSJ,TF,XH,XHNJSJ,XJ,XJ0,XJ1,XLSJ,XRJS,XTGSJ,YXCD,YXMS,YXZJ,ZBR,ZBY,ZCMS,ZGSFSD,ZJSD,ZJSJHJ,ZJSS,ZRTGSJ,ZS,ZS1,ZTBH,ZTCC,ZTCJ,ZTCSSJ,ZTGF,ZTJJZS,ZTLX,ZTSFSD,ZTSML,ZTXH,ZTYJ,ZY,ZZTGSJ,1
,16.70000076,,"扩眼钻进 , 1.26",江汉,206,,,,98,,17:03,,,,,,,,180,,,,7.416666,7.5,,,,,16.59997559,,,巴21,,,,1:00,4.7566667,,,,,1.26,,J2,,,,,38,16,,,,,,,1778.859985,,,,Y2,,,,7:25,,,,,,,,,,,西山窑,,,12,,,,,,1762.26001,,,泥岩,,,11,Z1,1.580000043,,17.05,,,0.973605606,67,,216,,,,0.920000017,J22,,157,7(4),3.099999905,150,,1
,16.70000076,,"扩眼钻进 , 1.27",江汉,265,,,,98,,11:17,,,,,,,,180,,,,9.666666,9.399999619,,,,,41.4699707,,,巴21,,,,6:00,3.4028571,,,,,1.27,,J1,,,,,38,141,,,,,,,1896.819946,,,,Y1,,,,9:40,,,,,,,,,,,西山窑,,,13,,,,,,1855.349976,,,砂岩,,,16,Z1,1.580000043,,11.283333,,,3.675329861,117,,216,,,,3.680000067,J22,,615,8(2),5.900000095,150,,1
,16.70000076,,"扩眼钻进 , 1.28",江汉,265,,,,98,,8:20,,,,,,,,180,,,,9.5,9.5,,,,,25.91003418,,,巴21,,,,2:30,5.35375,,,,,1.27,,J3,,,,,38,141,,,,,,,1954.410034,,,,Y2,,,,9:30,,,,,,,,,,,西山窑,,,14,,,,,,1928.5,,,泥岩+砂岩,,,17,Z1,1.580000043,,8.33333,,,3.109205345,117,,216,,,,3.109999895,J22,,615,8(3),5.900000095,150,,1
,16.70000076,,"扩眼钻进 , 1.29",江汉,265,,,,98,,8:54,,,,,,,,180,,,,10,10.5,,,,,29.7199707,,,巴21,,,,2:50,3.4028571,,,,,1.29,,J1,,,,,38,141,,,,,,,2015.619995,,,,Y1,,,,10:00,,,,,,,,,,,西山窑,,,15,,,,,,1985.900024,,,砂岩,,,18,Z1,1.580000043,,8.9,,,3.339322551,117,,216,,,,3.339999914,J22,,615,9(2),5.699999809,150,,1
,16.70000076,,"扩眼钻进 , 1.28",江汉,265,,,,98,,3:55,,,,,,,,180,,,,12.5,10.5,,,,,15.9699707,,,巴21,,,,1:10,3.4028571,,,,,1.29,,J1,,,,,38,141,,,,,,,2041.319946,,,,Y1,,,,12:30,,,,,,,,,,,西山窑,,,16,,,,,,2025.349976,,,砂岩,,,18,Z1,1.580000043,,3.91666,,,4.077446269,117,,216,,,,4.070000172,J22,,615,9(3),5.699999809,150,,1
,16.70000076,,"扩眼钻进 , 1.28",江汉,265,,,,98,,3:14,,,,,,,,180,,,,9.5,10.5,,,,,10.85009766,,,巴21,,,,2:30,3.4028571,,,,,1.28,,J2,,,,,38,141,,,,,,,2060.050049,,,,Y3,,,,9:30,,,,,,,,,,,西山窑,,,17,,,,,,2049.199951,,,砂岩,,,18,Z2,1.580000043,,3.23333,,,3.355703766,117,,216,,,,3.359999895,J22,,615,9(4),5.699999809,150,,1
,4.900000095,,1.28,江汉,259,,,,98,,26:45:00,,,,,,,,180,,,,20.16666,13.69999981,,,,,70,,,巴21,,,,0:12,5.35375,,,,,1.28,,J1,,,,,38,87,,,,,,,2165,,,,Y1,,,,20:10,,,,,,,,,,,西山窑,,,18,,,,,,2095,,,泥岩+砂岩,,,18,Z1,1.580000043,,26.75,,,2.61682243,117,,216,,,,2.619999886,J22,,185,10,3.599999905,170,,1
,4.300000191,,1.25,江汉,206,,,,98,,9:45,,,,,,,,180,,,,9.416666,7.5,,,,,6,,,巴21,,,,0:08,6.284,,,,,1.26,,J2,,,,,38,16,,,,,,,1816.599976,,,,Y2,,,,9:25,,,,,,,,,,,西山窑,,,19,,,,,,1810.599976,,,灰泥岩,,,11,Z2,1.580000043,,9.75,,,0.615384615,67,,216,,,,0.620000005,J22,,157,7(5),3.099999905,50,,1
,,,"磨损:T5,B0,G0,CB7",四川,,,,,121,,6:55,,,,,,,,150,,,,8.33333,,,,,,2.41003418,,,巴21,,,,,3.4028571,,,,,1.27,,,,,,,23,,,,,,,,1687.51001,,,,,,,,8:20,,,,,,,,,,,西山窑,,,21,,,,,,1685.099976,,,砂岩,,,9,,0,,6.916666,,,0.34843871,67,,214.3999939,,,,0.349999994,金刚石,,,12,,60,,1
,,,"T5,B0,G0,CB7",江汉,,,,,121,,22:07,,,,,,,,150,,,,36.5,,,,,,32.13000488,,,巴21,,,,,4.7566667,,,,,1.28,,,,,,,23,,,,,,,,1719.640015,,,,,,,,36:30:00,,,,,,,,,,,西山窑,,,22,,,,,,1687.51001,,,泥岩,,,9,,0,,22.116666,,,1.45275083,67,,214.3999939,,,,1.450000048,PDC,,,13,,60,,1
