JH,XH,QXQSJS 取芯起始井深,QXZZJS 取芯终止井深,CZJSJ 纯钻进时间,JC 进尺,ZS 钻速,ZY 钻压,ZS 转速,BYY 泵压,PL 排量,QXCW 取芯层位,YXMS 岩性描述,SHLDDYY 收获率低的原因,QXJC 取芯进尺,QYS 取样数,MBWQS,QXZSJ,ZTXH,ZTBH,ZTCJ,QXGJ 取芯工具,YXCD 岩心长度,YXZJ 岩芯直径,SHL 收获率
巴21,21,1833.280029,1842,4:00,8.719970703,2.179992676,45,67,9,23,J2x,砂岩,,8.720000267,47,,,,,,川8-3,8.720000267,103,100
巴21,22,1842,1850.189941,5:00,8.189941406,1.637988281,45,67,9,23,J2x,泥岩,,8.18999958,,,,,,,川8-3,8.18999958,103,100
巴21,23,1850.189941,1855.349976,9:30,5.16003418,0.543161493,45,67,9,23,J2x,泥岩,,5.159999847,,,,,,,川8-3,5.159999847,103,100
巴21,24,1896.819946,1902.51001,9:20,5.690063477,0.611834782,45,67,9,23,J2x,砂岩,,5.690000057,2,,,,,,川8-3,5.690000057,103,100
巴21,25,1902.51001,1907.25,2:40,4.739990234,1.777496782,45,67,9,23,J2x,砂岩,,4.739999771,26,,,,,,川8-3,4.739999771,103,100
巴21,26,1907.25,1912.689941,5:20,5.439941406,1.019989077,45,67,9,23,J2x,砂岩,,5.440000057,21,,,,,,川8-3,5.440000057,103,100
巴21,27,1912.689941,1920.650024,4:20,7.960083008,1.836942234,45,67,9,23,J2x,泥岩,,7.960000038,,,,,,,川8-3,7.960000038,103,100
巴21,28,1920.650024,1928.5,6:40,7.849975586,1.177496456,45,67,9,23,J2x,泥岩,,7.849999905,,,,,,,川8-3,7.849999905,103,100
巴21,29,1954.410034,1961.439941,4:25,7.029907227,1.591677132,45,67,10,23,J2x,砂岩,,7.03000021,29,,,,,,川8-3,7.03000021,103,100
巴21,30,1961.439941,1969.089966,7:50,7.650024414,0.976598866,45,67,10,23,J2x,泥岩,,7.650000095,,,,,,,川8-3,7.650000095,103,100
巴21,31,1969.089966,1977.170044,10:05,8.080078125,0.808007813,50,67,10,23,J2x,砂岩,,8.079999924,9,,,,,,川8-3,8.079999924,103,100
巴21,32,1977.170044,1985.900024,4:50,8.729980469,1.806202868,50,67,10,23,J2x,砂岩,,8.729999542,14,,,,,,川8-3,8.729999542,103,100
巴21,33,2015.619995,2025.349976,2:50,9.729980469,3.434110794,50,67,10.5,23,J2x,砂泥,,9.729999542,3,,,,,,川8-3,9.449999809,103,97.12000275
巴21,34,2041.319946,2049.199951,9:20,7.880004883,0.844286539,50,67,10.5,23,J2x,砂岩,,7.880000114,7,,,,,,川8-3,7.880000114,103,100
巴21,35,2060.050049,2067.189941,3:00,7.139892578,2.379964193,50,67,11,23,J2x,砂岩,,7.139999866,16,,,,,,川8-3,7.139999866,103,100
巴21,36,2067.189941,2073,4:20,5.810058594,1.340782763,45,67,11,23,J2x,砂岩,,5.809999943,7,,,,,,川8-3,5.809999943,104,100
巴21,37,2073,2081.110107,2:45,8.110107422,2.949129972,45,67,11,23,,,磨心,8.109999657,22,,,,,,川8-3,8.109999657,104,100
巴21,38,2081.110107,2087.310059,4:20,6.199951172,1.430759063,45,67,11,23,,,,6.199999809,18,,,,,,川8-3,6.199999809,103,100
巴21,39,2087.310059,2095,4:00,7.689941406,1.922485352,45,67,11,23,,砂泥,,7.690000057,4,,,,,,川8-3,7.690000057,104,100
